,name,description
0,Women's Campside Oxfords,"This ultracomfortable lace-to-toe Oxford boasts a super-soft canvas, thick cushioning, and quality construction for a broken-in feel from the first time you put them on.

Size & Fit: Order regular shoe size. For half sizes not offered, order up to next whole size.

Specs: Approx. weight: 1 lb.1 oz. per pair.

Construction: Soft canvas material for a broken-in feel and look. Comfortable EVA innersole with Cleansport NXT® antimicrobial odor control. Vintage hunt, fish and camping motif on innersole. Moderate arch contour of innersole. EVA foam midsole for cushioning and support. Chain-tread-inspired molded rubber outsole with modified chain-tread pattern. Imported.

Questions? Please contact us for any inquiries."
1,"Recycled Waterhog Dog Mat, Chevron Weave","Protect your floors from spills and splashing with our ultradurable recycled Waterhog dog mat made right here in the USA.

Specs
Small - Dimensions: 18"" x 28"".
Medium - Dimensions: 22.5"" x 34.5"".

Why We Love It
Mother nature, wet shoes and muddy paws have met their match with our Recycled Waterhog mats. Ruggedly constructed from recycled plastic materials, these ultratough mats help keep dirt and water off your floors and plastic out of landfills, trails and oceans. Now, that's a win-win for everyone.

Fabric & Care
Vacuum or hose clean.

Construction
24 oz. polyester fabric made from 94% recycled materials.
Rubber backing.

Additional Features
Features an -exclusive design.
Features thick and thin fibers for scraping dirt and absorbing water.
Dries quickly and resists fading, rotting, mildew and shedding.
Use indoors or out.
Made in the USA.

Have questions? Reach out to our customer service team with any questions you may have."
2,"Infant and Toddler Girls' Coastal Chill Swimsuit, Two-Piece","She'll love the bright colors, ruffles and exclusive whimsical prints of this toddler's two-piece swimsuit! Our four-way-stretch and chlorine-resistant fabric keeps its shape and resists snags. The UPF 50+ rated fabric provides the highest rated sun protection possible, blocking 98% of the sun's harmful rays. The crossover no-slip straps and fully lined bottom ensure a secure fit and maximum coverage. Machine wash and line dry for best results. Imported."
3,"Refresh Swimwear, V-Neck Tankini Contrasts","Whether you're going for a swim or heading out on an SUP, this watersport-ready tankini top is designed to move with you and stay comfortable. All while looking great in an eye-catching colorblock style.

Size & Fit
Fitted: Sits close to the body.

Why We Love It
Not only does this swimtop feel good to wear, its fabric is good for the earth too. In recycled nylon, with Lycra® spandex for the perfect amount of stretch.

Fabric & Care
The premium Italian-blend is breathable, quick drying and abrasion resistant.
Body in 82% recycled nylon with 18% Lycra® spandex.
Lined in 90% recycled nylon with 10% Lycra® spandex.
UPF 50+ rated – the highest rated sun protection possible.
Handwash, line dry.

Additional Features
Lightweight racerback straps are easy to get on and off, and won't get in your way.
Flattering V-neck silhouette.
Imported.

Sun Protection That Won't Wear Off
Our high-performance fabric provides SPF"
4,EcoFlex 3L Storm Pants,"Our new TEK O2 technology makes our four-season waterproof pants even more breathable. It's guaranteed to keep you dry and comfortable – whatever the activity and whatever the weather. Size & Fit: Slightly Fitted through hip and thigh.

Why We Love It: Our state-of-the-art TEK O2 technology offers the most breathability we've ever tested. Great as ski pants, they're ideal for a variety of outdoor activities year-round. Plus, they're loaded with features outdoor enthusiasts appreciate, including weather-blocking gaiters and handy side zips. Air In. Water Out. See how our air-permeable TEK O2 technology keeps you dry and comfortable.

Fabric & Care: 100% nylon, exclusive of trim. Machine wash and dry.

Additional Features: Three-layer shell delivers waterproof protection. Brand new TEK O2 technology provides enhanced breathability. Interior gaiters keep out rain and snow. Full side zips for easy on/off over boots. Two zippered hand pockets. Thigh pocket. Imported.

 – Official Supplier to the U.S. Ski Team
THEIR WILL"
5,"Smooth Comfort Check Shirt, Slightly Fitted","Our men's slightly fitted check shirt is the perfect choice for your wardrobe! Customers love how it fits right out of the dryer. Size & Fit: Slightly Fitted, Relaxed through the chest and sleeve with a slightly slimmer waist. Fabric & Care: 100% cotton poplin, with wrinkle-free performance that won't wash out. Our innovative TrueCool® fabric wicks moisture away from your skin and helps it dry quickly. Additional Features: Traditional styling with a button-down collar and a single patch pocket. Imported."
6,Mens Outdoor Research Apex Gloves,"These Outdoor Research Arete gloves are perfect for your backcountry adventures. They feature a tough Taslan nylon shell and removable Gore-Tex® nylon fleece liner that is quick-drying and provides complete protection and warmth. The stretchy nylon Lycra elastane soft-shell fabric on the back of the hands allows for freedom of movement, while the ergonomic design lets your hands move naturally for maximum comfort. The gauntlet closure seals out snow and cold wind, and a special pocket allows for a heat pack to be inserted to help keep your hands warm. Both the shell and 100-weight-fleece liner can be worn alone or together for maximum warmth. Imported. These gloves also offer serious waterproof protection from the elements, and are highly breathable to allow moisture vapor to escape. Get the durability you expect from Gore-Tex fabrics."
7,"Women's Ultraplush Sweats, Relaxed Crewneck","This crewneck sweatshirt is crafted from soft french terry, making it feel great after a long day. It also looks so good it could be worn around town. Our most generous fit sits farthest from the body and falls at the hip. It's made of 95% cotton and 5% spandex and is a substantial midweight french terry fabric, smooth on the outside and softly looped on the inside. It's designed with shaping for a flattering, feminine fit and features raglan sleeves, a straight hem with side slits, and a curved hem that's slightly longer in the back. Machine wash and dry. Imported."
8,Mountain Man Fleece Jacket,"Our best-value fleece jacket is designed with inspiration from our archives and made from 100% recycled polyester for unbeatable comfort and wear-anywhere style.

Size & Fit: Slightly Fitted. Best with lightweight layer. Falls at hip.

Why We Love It: Our designers took inspiration from the  archives to create this ultrasoft fleece jacket. We love how the heritage styling is updated with a modern, slimming fit. Plus, it’s made from 100% recycled fleece – so you can stay warm and feel good about it.

Fabric & Care: 100% recycled fleece is soft, cozy and gentle on the planet. Ultraplush fibers resist wind for even more warmth. Machine wash and dry.

Additional Features: Features our classic Mount Katahdin logo. Bart Boot lace-inspired zippers and drawcord. Two lower zippered hand pockets. Elastic cuffs and drawcord hem seal out cold air. Imported."
9,"Compact Camping Table, 25""","This aluminum portable camp table is perfect for car camping trips, picnics and tailgates. It features a one-piece design with telescoping legs that folds down into a small package. The table is made from lightweight yet durable aluminum and can hold up to 60 lb. The open dimensions are 25""H x 25""W x 27.5""D and the folded dimensions are 25""H x 24""W x 2""D, and the weight is 5 lb. 10 oz. This table can accommodate dinner for up to four people or can be used as a side table."
10,"Cozy Comfort Pullover Set, Stripe","Perfect for lounging, this striped knit set lives up to its name. We used ultrasoft fabric and an easy design that's as comfortable at bedtime as it is when we have to make a quick run out.

Size & Fit
- Pants are Favorite Fit: Sits lower on the waist.
- Relaxed Fit: Our most generous fit sits farthest from the body.

Fabric & Care
- In the softest blend of 63% polyester, 35% rayon and 2% spandex.

Additional Features
- Relaxed fit top with raglan sleeves and rounded hem.
- Pull-on pants have a wide elastic waistband and drawstring, side pockets and a modern slim leg.

Imported."
11,Ultra-Lofty 850 Stretch Down Hooded Jacket,"This technical stretch down jacket from our DownTek collection is sure to keep you warm and comfortable with its full-stretch construction providing exceptional range of motion. With a slightly fitted style that falls at the hip and best with a midweight layer, this jacket is suitable for light activity up to 20° and moderate activity up to -30°. The soft and durable 100% polyester shell offers complete windproof protection and is insulated with warm, lofty goose down. Other features include welded baffles for a no-stitch construction and excellent stretch, an adjustable hood, an interior media port and mesh stash pocket and a hem drawcord. Machine wash and dry. Imported."
12,CozyCloud Flannel Sheet Set,"Our Ultrasoft Flannel Bedding solid colored soft flannel sheet set is the perfect choice for those looking for year-round comfort. With its five-ounce weight and brushed cotton flannel construction, it will keep its bright colors wash after wash. It has been tested for harmful substances to the STANDARD 100 by OEKO-TEX® Certification (137 CITEVE) and is woven in Portugal exclusively for . This set includes one flat sheet, one fitted sheet and two cases; Twin has one case.

Specs:
Twin:
Flat: 102"" x 72"".
Fitted: 76"" x 39"" x 15"" pocket depth.
Pillowcases (1): 32"" x 20"".

Full:
Flat: 102"" x 86"".
Fitted: 76"" x 54"" x 15"" pocket depth.
Pillowcases (2): 32"" x 20"".

Queen:
Flat: 104"" x 96"".
Fitted: 80"" x 60"" x 15"" pocket depth.
Pillowcases (2): 32"" x 20"".

King:
Flat: 110"
13,Men's Maine Explorer Zip-Front Jac-Shirt,"This classic wool jac-shirt is a unique combination of a jacket and a shirt, so you can wear it all year round. It fits loosely, perfect for layering when it's cold outside but can also be worn as an outer shirt when it's warm.

Size & Fit
Traditional Fit: Relaxed through the chest, sleeve and waist.

Fabric & Care
85% wool, 15% nylon.
Solid colors: 11 oz. per sq. yd.
Camouflage: 15 oz. per sq. yd.
Dry clean.

Additional Features
Attached exterior wool cape for additional warmth and protection in drizzle and snow.
Two welted handwarmer pockets and two button-through chest pockets.
Cut full for layering in colder weather.
Top-quality wool for exceptional durability.
Warm when wet and quiet in the woods.
Ultrasuede trim on cuffs and collar for comfort against skin.
Rugged brass zipper.
Pocket buttons are reinforced for security.
Two buttons on cuffs for increased adjustability.
Imported."
14,"Easy-Care Classic Stripe Short-Sleeve Shirt, Traditional Fit","The ultimate striped chambray shirt – we kept everything you love and made it even better. Light and breathable in 100% cotton, with an easy-care finish that sheds wrinkles remarkably well.

Size & Fit
Traditional Fit: Relaxed through the chest, sleeve and waist.

Why We Love It
Even when something is loved as much as a classic chambray, there's always something you can do to make it even better. And that's just what we did – introducing our exclusive easy-care chambray. It's light, breathable and sheds wrinkles. Just throw it in the wash, and it's ready to wear right out of the dryer.

Fabric & Care
100% cotton chambray. A light iron gives it an even crisper look. Machine wash and dry.

Additional Features
Single patch pocket. Button-down collar. Imported.

Questions?
Feel free to contact us with any questions or inquiries."
15,Wind Chaser 110 Kayak,"This lightweight recreational kayak is designed with a hard-chined hull for superior performance, a generously sized cockpit for easy entry and exit, and excellent stability so everyone in the family will enjoy paddling it.

Specs:
Capacity: 278 lb.
Weight: 38 lb. with seat; 32 lb. without seat.
Dimensions: 11' x 27"".

Construction:
Made from superlight, durable thermoformed ABS plastic.

Additional Features:
Stern bulkhead provides flotation and dry storage.
10-inch hinge hatch allows easy access to stern storage compartment.
Bow and stern deck bungee for dry bag and gear storage.
Paddle holder secures paddle to deck.
Super-comfortable frame seat easily clips into a mounted bracket under the deck.
Seat can be removed for use as a beach chair.
Twist-loc foot brace system easily adjusts from a seated position.
Molded grab handles at bow and stern offer a comfortable grip for carrying.
55-inch XL cockpit allows easy entry/exit and accommodates a small child or pet.
USA.

"
16,Camo Trekker Midweight Quarter-Zip Pullover Hoodie,"This camo quarter-zip hoodie is an extremely versatile mid layer that's great for all hunting seasons. It's made from warm, breathable fleece and features an innovative lightweight hood with a built-in face mask.

Fabric & Care: 100% polyester. Machine wash and dry.

Additional Features: An excellent layering piece for cold weather. Wind-resistant hard-shell fleece is quiet and resists water, debris and snags. Super-soft fleece interior is warm and can be worn over layers or next-to-skin. Unique lightweight hood has a built in face mask for extra warmth and total concealment. Built-in articulation allows excellent range of motion. Quarter-length zipper allows for easy on/off and ventilation. Single vertical upper chest storage pocket. Thumbholes in cuff allow extra coverage; they stay closed when not in use. Flat seams won't chafe or catch on under layers. Imported."
17,Summit Soft Loveseat,"Our upholstered loveseat sofa is designed for smaller spaces – and years of enjoyment. Specs: Dimensions: 38""H x 61""W x 36""D. Weight: 115 lb.

Why We Love It: We worked closely with expert upholstery craftsmen in North Carolina to bring you this sturdy classic-styled loveseat at a comfortable price. Our well-designed Pine Point Upholstered Collection features soft yet durable fabric in an enduring traditional style to suit any space.

Fabric & Care: 100% polyester fabric. Spot clean.

Construction: Kiln dried hardwood and manufactured wood. Heavy-gauge steel springs provide extra support. High-density foam and soft polyester fiberfill.

Additional Features: Comes fully upholstered in a choice of colors for timeless appeal. Designed with plush cushioning in a versatile classic style. USA, fabric imported.

Questions? Please contact our customer service team for more information."
18,"Zen Wave SUP Board, 10'8""","This inflatable SUP combines the rigidity of a hard board with the convenience of an inflatable. Inflates to a rock-hard 20 psi for performance that rivals a hard board. Specs: Dimensions: 10'8""L x 35""W x 6""D.

Additional Features:
- Appropriate for touring, fitness paddling and light river running.
- Inflates up to a rock-hard 20 psi for performance that is close to a hard board.
- Streamlined construction for lightweight performance.
- Four D-rings for attaching gear and essentials.
- Includes three fins, travel carry bag, pump and a repair kit.
- Folds up compactly when deflated for easy transport and storage.
- EVA Deck Pad provides textured surface for grip and comfort.
- Imported.

How to Choose a SUP: Find the best paddleboard for you – from paddling on calm waters to tackling big waves. WATCH THE VIDEO SUP BUYING GUIDE"
